nome_item,peso_gramas,dureza_escala_1_10,tamanho_cm,tem_cabo,material_metalico,preco_reais,funcao,eh_ferramenta
Parafusadeira,310,8,27,1,1,89.90,Apertar parafusos rapidamente,1
Chave Estrela,140,7,16,1,1,19.80,Apertar porcas estrela,1
Machado Medio,480,9,33,1,1,134.50,Cortar madeira media,1
Martelo Pequeno,260,6,21,1,1,24.90,Bater pequenos pregos,1
Talhadeira,390,8,29,1,1,36.70,Cortar pedra e concreto,1
Borracha Escolar,65,2,9,0,0,1.80,Apagar lapis escolar,0
Grampo Metal,95,3,11,0,1,0.15,Prender papeis juntos,0
Caderno,170,1,19,0,0,18.50,Anotar e estudar,0
Caneta,130,4,13,0,0,3.20,Escrever com tinta,0
Algodao,75,2,7,0,0,4.50,Limpeza e cuidados,0
